date,ensemble
2021-10-20,10802192871.70044
2021-10-21,10779045077.371635
2021-10-22,10806769991.8955
2021-10-25,10799140807.859049
2021-10-26,10796502344.950214
2021-10-27,10912404348.691715
2021-10-28,10942572209.33398
2021-10-29,10943269088.94467
2021-11-01,10866168133.270777
2021-11-02,10909082061.386583
2021-11-03,10861729374.702728
2021-11-04,10870316617.416204
2021-11-05,10902254389.416492
2021-11-08,10949329004.152954
2021-11-09,10930414764.57279
2021-11-10,10930720780.786856
2021-11-11,10930772162.055534
2021-11-12,10966492828.60222
2021-11-15,10992986649.665668
2021-11-16,10969227836.316366
2021-11-17,10976386402.531109
2021-11-18,10939755646.848948
2021-11-19,10878669013.2412
2021-11-22,10831877797.278015
2021-11-23,10935393752.662737
2021-11-24,10975143463.57352
2021-11-25,11027841656.853992
2021-11-26,11031587147.26756
2021-11-29,11056687390.527128
2021-11-30,11069868561.670376
2021-12-01,11085833776.226856
2021-12-02,11088742113.960602
2021-12-03,11003999379.274769
2021-12-06,10960911284.03774
2021-12-07,11055217911.6142
2021-12-08,11054699162.710136
2021-12-09,11128190798.337704
2021-12-10,11091281374.448574
2021-12-13,11136379501.10208
2021-12-14,11095144563.219654
2021-12-15,11089490792.192236
2021-12-16,11119271947.58257
2021-12-17,11123014826.120913
2021-12-20,11115790320.561829
2021-12-21,11153949005.191393
2021-12-22,11177494617.490948
2021-12-23,11147835978.25019
2021-12-24,11166724923.124226
2021-12-27,11197044402.361372
2021-12-28,11206461671.151833
2021-12-29,11188994871.813593
2021-12-30,11199229709.039116
2021-12-31,11180219753.596748
2022-01-04,11256883681.050716
2022-01-05,11212314707.409618
2022-01-06,11208496186.65859
2022-01-07,11201859363.217152
2022-01-10,11128739912.627802
2022-01-11,11036150204.129309
2022-01-12,11054064423.13462
2022-01-13,11009473378.692928
2022-01-14,11018265107.437948
2022-01-17,10891998307.11164
2022-01-18,10855004158.34633
2022-01-19,10918386359.399818
2022-01-20,10965202271.698868
2022-01-21,10997566067.930292
2022-01-24,10822438317.80081
2022-01-25,10959651341.609812
